id,date,from-currency,to-currency,rate
1,01.01.2024,RUB,USD,95.00
2,01.01.2024,RUB,EUR,100.07
3,01.01.2024,USD,RUB,92.01
4,01.01.2024,EUR,RUB,94.72
5,01.01.2024,USD,EUR,1.09
6,01.01.2024,EUR,USD,1.02
7,02.01.2024,RUB,USD,96.83
8,02.01.2024,RUB,EUR,102.71
9,02.01.2024,USD,RUB,93.52
10,02.01.2024,EUR,RUB,97.68
11,02.01.2024,USD,EUR,1.08
12,02.01.2024,EUR,USD,1.02
13,03.01.2024,RUB,USD,96.74
14,03.01.2024,RUB,EUR,102.42
15,03.01.2024,USD,RUB,92.83
16,03.01.2024,EUR,RUB,94.06
17,03.01.2024,USD,EUR,1.07
18,03.01.2024,EUR,USD,1.01
19,04.01.2024,RUB,USD,96.50
20,04.01.2024,RUB,EUR,101.97
21,04.01.2024,USD,RUB,92.57
22,04.01.2024,EUR,RUB,94.01
23,04.01.2024,USD,EUR,1.07
24,04.01.2024,EUR,USD,1.02
